Ticker,Mean,Std Dev,Skewness,Kurtosis,Jarque-Bera,JB_pvalue
AAPL,0.00093,0.01793,-0.20123,5.45738,3121.60362,0.0
AMZN,0.00106,0.02058,0.15739,5.80312,3521.0443,0.0
BA,0.00018,0.02545,-0.51141,17.57286,32319.57783,0.0
BAC,0.00044,0.01958,-0.02543,9.62497,9660.96811,0.0
CAT,0.00065,0.01879,-0.33912,4.6797,2330.66991,0.0
COP,0.00026,0.02425,-0.48505,14.73616,22747.69966,0.0
CVX,0.00027,0.01875,-0.94144,26.35891,72848.18892,0.0
GOOGL,0.00079,0.01791,0.01648,6.19588,4002.29093,0.0
GS,0.00051,0.01815,-0.09596,9.52855,9471.92557,0.0
JNJ,0.00024,0.01139,-0.34155,9.74445,9950.9228,0.0
JPM,0.00064,0.01721,-0.02049,13.50878,19033.04492,0.0
KO,0.00028,0.01126,-0.92559,11.04719,13085.98747,0.0
MS,0.00058,0.01971,0.01868,11.47309,13728.09158,0.0
MSFT,0.00094,0.01709,-0.17919,8.08529,6829.90959,0.0
NVDA,0.00225,0.03038,0.20874,6.82988,4881.71639,0.0
PEP,0.0003,0.01176,-0.57965,21.74835,49478.75759,0.0
PFE,0.00011,0.01461,0.15168,4.73275,2344.23402,0.0
PG,0.00036,0.01163,-0.02465,11.71288,14308.15774,0.0
UNH,0.0007,0.0165,-0.43248,13.45969,18973.03346,0.0
XOM,0.00023,0.01751,-0.14074,6.55421,4486.96075,0.0
